Ba,Ce,Cr,Cs,Dy,Er,Eu,Ga,Gd,Hf,Ho,La,Lu,Nb,Nd,Pr,Rb,Sm,Sn,Sr,Ta,Tb,Th,Tm,U,V,W,Y,Yb,Zr,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,LOI,Total,Ag,As,Cd,Co,Cu,Li,Mo,Ni,Pb,Sc,Tl,Zn,AreaID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,64.2,20,0.87,2.83,1.31,1.13,19.9,3.81,3.9,0.49,43.3,0.17,7.1,23.9,6.94,39.1,4.19,1,606,0.6,0.46,4.3,0.19,1.9,106,1,14,1.2,149,61.9,16.1,6.09,5,2.3,3.78,1.9,0.003,0.66,0.1,0.16,0.07,0.14,2.8,100.9,0.5,5,0.5,12,18,20,10,8,28,8,10,90,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,36.8,10,2.22,2.71,1.76,0.36,14.1,2.44,3.5,0.55,16.4,0.27,6.1,14.9,4.49,108.5,2.72,2,151,0.7,0.41,14.1,0.26,3,6,2,16.4,1.99,110,74.8,13.8,1.48,1.6,0.3,4.27,3.7,0.002,0.16,0.05,0.04,0.01,0.08,1.1,101.35,0.5,7,0.5,1,3,10,1,1,20,3,10,36,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,41.2,10,7.27,3.96,2.59,0.94,16.3,4.16,4.5,0.84,20.2,0.44,4.8,19.7,5.07,94.8,4.26,1,337,0.6,0.57,10.9,0.35,1.8,73,2,23.2,2.77,158,66.5,15.4,5.63,4.5,1.7,3.72,2.2,0.002,0.48,0.12,0.16,0.04,0.11,0.7,101.18,0.5,5,0.5,10,9,20,1,4,11,9,10,47,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,16.7,90,1.75,2.42,1.4,0.69,16.3,2.49,1.6,0.5,9.6,0.22,1.9,7.9,2.04,10.3,2.1,1,435,0.2,0.37,3,0.19,1,228,1,12.7,1.17,57,52.9,16.5,7.6,10.1,5,3.27,0.6,0.011,0.58,0.16,0.09,0.05,0.03,1.5,98.42,0.5,5,0.5,24,22,20,1,12,6,35,10,65,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,33.7,10,2.37,1.98,1.59,0.34,12.3,1.92,2.7,0.45,18.2,0.28,6.1,11.4,3.52,97,1.87,1,159,0.7,0.27,13.7,0.24,3.2,8,1,13.1,1.79,83,77.5,12.3,1.7,1.6,0.4,3.75,3,0.002,0.15,0.03,0.04,0.01,0.09,0.5,101,0.5,5,0.5,2,13,10,1,1,7,3,10,13,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,22,10,4.41,1.61,1.12,0.29,12.2,1.35,2.5,0.33,13.2,0.24,4.8,7.4,2.33,117.5,1.47,1,160,0.6,0.23,11.5,0.16,2.8,11,2,9.5,1.23,83,77.2,12.1,1.88,1.3,0.4,3.44,3.7,0.002,0.15,0.06,0.04,0.02,0.12,0.6,100.98,0.5,5,0.5,1,3,30,1,2,10,3,10,15,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,40,10,2.55,4.7,2.66,1.07,19.9,4.94,3.8,0.92,18.8,0.41,5,21.7,5.16,52.2,4.58,1,465,0.5,0.74,6.2,0.39,1.5,124,1,24.4,2.49,131,57,18.4,6.61,6.6,2.1,3.94,1.8,0.002,0.66,0.13,0.24,0.05,0.06,0.6,98.22,0.5,5,0.5,12,40,10,1,3,11,13,10,80,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.8,25,10,0.19,4.52,2.87,1.45,22.1,4.56,2,0.89,12.7,0.36,2.1,15.7,3.88,1,4.24,2,475,0.2,0.7,2.4,0.34,0.9,380,5,24.4,2.68,72,51.6,16.1,11.35,9.5,3.8,1.04,0,0.002,1.04,0.16,0.17,0.05,0.01,4.2,99.05,0.5,5,0.5,20,21,10,1,4,7,31,10,56,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,52.9,10,0.17,3.56,2.28,0.67,13.8,3.52,4.3,0.69,30,0.4,2.5,20.9,5.66,8.4,4.06,3,157,0.3,0.55,10,0.32,3.7,14,2,20.5,2.64,150,75.5,13,2.78,1.3,0.6,5.41,0.4,0.002,0.18,0.02,0.03,0.02,0.03,1.2,100.44,0.8,5,0.5,8,439,10,1,2,4,4,10,27,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,13.6,10,1.05,3.4,2.4,0.67,17.6,2.86,2.1,0.71,5.7,0.37,0.9,10.2,2.01,11.2,2.93,1,240,0.2,0.46,1,0.31,0.4,228,1,20.2,2.32,63,52.3,18.5,9.56,9.5,5.2,2.34,0.5,0.002,0.58,0.17,0.06,0.03,0.02,0.9,99.71,0.5,6,0.5,34,91,10,1,11,6,25,10,83,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,24.1,10,3.09,1.91,1.19,0.85,20.8,2.22,2.2,0.34,11.7,0.17,2,12.8,3.15,40,2.62,1,987,0.2,0.31,2.2,0.16,0.7,60,1,10.7,1.13,72,59.1,18.1,5.44,6.3,1.7,4.2,1.5,0.002,0.4,0.13,0.23,0.11,0.08,2.9,100.15,0.5,10,0.5,8,7,40,1,1,10,4,10,68,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,18.9,30,1.14,1.96,1.16,1.03,21.4,2.26,0.7,0.41,9,0.14,2,12,2.6,24.5,2.82,1,737,0.2,0.35,0.5,0.16,0.3,208,1,10.2,0.89,20,50.9,19.4,8.53,8.9,4.6,3.91,0.8,0.004,0.91,0.15,0.21,0.09,0.05,1.3,99.68,0.5,5,0.7,23,64,10,1,17,7,17,10,98,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,55.4,10,5,2.95,1.64,0.62,16.4,3.28,5.2,0.52,28,0.26,8.3,21.2,5.92,175,3.63,1,338,0.9,0.47,33,0.23,9.8,41,2,15.9,1.74,165,71.8,14.4,3.02,2.4,0.9,3.43,4.2,0.002,0.32,0.06,0.08,0.04,0.08,0.8,101.52,0.5,5,0.5,5,244,10,4,4,9,5,10,44,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,67,10,4.91,5.27,3.01,0.9,18.7,5.44,8,1.04,32.3,0.44,10.5,29.7,8.04,155,6.11,3,268,0.9,0.83,20,0.42,5.7,67,3,28.6,3.1,288,66.8,15.2,4.81,3.2,1.2,3.73,4.1,0.002,0.51,0.05,0.13,0.03,0.09,1.3,101.08,0.5,6,0.5,6,13,30,1,5,15,9,10,41,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
