SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5
56.52,1.43,16.59,8.01,0.1,4.23,6.72,4.16,2.39,0.48
63.34,0.85,15.81,5.01,0.08,2.15,4.09,4.28,3.7,0.33
69.5,0.44,14.54,2.54,0.05,0.89,2.16,4.17,4.39,0.14
69.8,0.35,13.34,2.06,0.04,0.73,1.67,3.97,4.28,0.12
59.2,1.31,16.1,6.75,0.09,3.14,5.47,4.19,2.89,0.47
74.77,0.21,12.93,1.24,0.04,0.48,1.05,4.11,4.6,0.05
71.47,0.28,13.25,1.7,0.04,0.49,1.43,3.88,4.28,0.09
68.51,0.52,14.97,3.05,0.05,1.07,2.46,4.21,4.08,0.17
68.5,0.44,15.2,2.58,0.05,0.87,2.38,4.23,4.19,0.16
59.95,1.1,16.39,6.08,0.09,2.6,4.98,4.41,3.17,0.45
57.72,1.37,16.31,7.17,0.09,3.44,5.85,4.35,2.74,0.51
58,1.32,16.5,6.86,0.09,2.93,5.44,4.31,2.94,0.49
62.74,0.99,15.82,5.28,0.07,2.36,4.37,4.48,3.56,0.37
61.83,1.04,16.41,2.25,0.07,2.13,4.64,4.7,3.19,0.4
68.69,0.5,15.05,2.91,0.05,1.04,2.38,4.19,4.07,0.18
58.76,1.4,16.72,6.82,0.08,3.06,5.72,4.85,3.07,0.56
58.86,1.29,16.16,6.76,0.09,3.21,5.63,4.35,3.08,0.5
60.99,1.08,16.38,5.94,0.08,2.15,4.77,4.4,3.07,0.42
59.11,1.28,16.53,3.02,0.09,2.88,5.36,4.63,3.01,0.47
70.82,0.34,13.67,2.01,0.05,0.63,1.67,3.93,4.23,0.11
58.65,1.31,16.61,6.82,0.09,2.87,5.52,4.32,2.93,0.48
58.06,1.35,16.43,2.89,0.09,3.47,5.85,4.43,2.74,0.5
59.1,1.33,16.1,6.79,0.09,3.21,5.51,4.28,2.9,0.48
58.6,1.42,16.53,7.29,0.09,3.59,5.95,4.51,2.72,0.51
60.03,1.13,15.45,5.9,0.08,2.94,4.96,4.25,3.13,0.41
58.41,1.31,16.59,2.79,0.09,3.36,5.9,4.49,2.71,0.47
58.4,1.29,15.9,6.66,0.08,3.1,5.4,4.22,2.9,0.46
58.53,1.32,16.64,6.96,0.09,2.95,5.66,4.31,2.89,0.49
67.94,0.49,14.74,2.76,0.05,0.99,2.32,4.12,4.07,0.17
67.9,0.5,15,2.88,0.05,0.97,2.36,4.07,4.07,0.19
68.98,0.5,15.05,1.31,0.05,1.06,2.45,4.31,4.08,0.17
61.2,1.11,15.8,5.79,0.08,2.72,4.82,4.23,3.23,0.43
72.16,0.28,13.39,1.7,0.04,0.47,1.39,3.89,4.34,0.09
60.75,1.1,15.73,5.85,0.08,2.82,4.97,4.33,3.24,0.41
58.6,1.28,16.3,6.51,0.08,3.06,5.41,4.47,2.98,0.49
61,1.11,15.7,5.73,0.08,2.73,4.83,4.26,3.19,0.41
57.5,1.35,16.4,7.1,0.09,3.23,5.68,4.3,2.87,0.49
58.9,1.24,16.28,2.71,0.1,3.17,5.53,4.18,2.83,0.45
